[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMT,Parmi,AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
2_THT_TOP,,TOP,2,R2523A24110132,20240426,14:20:36,14:20:47,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2523A24110132,Body Lift,LIFT,NO,PASS
2,R2523A24110120,Body Lift,LIFT,NO,PASS
3,R2523A24110131,Body Lift,LIFT,NO,PASS
4,R2523A24110118,Body Lift,LIFT,NO,PASS
5,R2523A24110123,Body Lift,LIFT,NO,PASS
6,R2523A24110112,Body Lift,LIFT,NO,PASS
7,R2523A24110134,Solder Joint,SOLDER JOINT,NO,PASS
8,R2523A24110136,Solder Joint,SOLDER JOINT,NO,PASS
9,R2523A24110130,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J12,,88.888,67.555,Body Lift,LIFT,PASS
1,J8B,,80.659,58.032,Pin,PIN,PASS
1,J3,,50.791,64.032,Pin,PIN,PASS
1,J5,,50.884,32.306,Pin,PIN,PASS
1,J9,,24.588,46.818,Body Lift,LIFT,PASS
2,J8B,,177.604,57.367,Pin,PIN,PASS
2,J9,,121.533,46.153,Body Lift,LIFT,PASS
2,J2,,118.297,62.058,Pin,PIN,PASS
3,J10,,276.097,46.681,Body Lift,LIFT,PASS
3,J8B,,272.630,57.367,Pin,PIN,PASS
3,J4,,242.587,50.677,Pin,PIN,PASS
3,J9,,216.559,46.153,Body Lift,LIFT,PASS
3,J2,,213.323,62.058,Pin,PIN,PASS
3,J1,,213.256,32.994,Pin,PIN,PASS
4,J8B,,80.167,126.471,Pin,PIN,PASS
4,J8A,,80.050,136.581,Solder Joint,SOLDER JOINT,PASS
4,J8A,1,80.050,136.581,Solder Amount,SOLDER_AMOUNT,PASS
4,J9,,24.096,115.256,Body Lift,LIFT,PASS
5,J8B,,177.111,125.806,Pin,PIN,PASS
5,J5,,147.336,100.080,Pin,PIN,PASS
5,J4,,147.068,119.116,Pin,PIN,PASS
5,J9,,121.040,114.592,Body Lift,LIFT,PASS
6,J10,,275.605,115.120,Body Lift,LIFT,PASS
6,J5,,242.363,100.080,Pin,PIN,PASS
6,J9,,216.067,114.592,Body Lift,LIFT,PASS
7,J8B,,80.659,193.925,Pin,PIN,PASS
7,J8A,,80.542,204.035,Solder Joint,SOLDER JOINT,PASS
7,J8A,1,80.542,204.035,Solder Amount,SOLDER_AMOUNT,PASS
8,J8B,,177.604,193.260,Solder Joint,SOLDER JOINT,PASS
8,J8B,1,177.604,193.260,Solder Amount,SOLDER_AMOUNT,PASS
8,J1,,118.230,168.887,Pin,PIN,PASS
9,J10,,276.097,182.574,Body Lift,LIFT,PASS
9,J8B,,272.630,193.260,Pin,PIN,PASS
9,J8A,,272.513,203.371,Pin,PIN,PASS
9,J4,,242.587,186.570,Pin,PIN,PASS
[COMPONENT_INSP_RESULT_END]
