[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2373_THT_BOT,,BOTTOM,1,R2373C24130131,20240517,14:00:11,14:00:21,Solder Joint,SOLDER JOINT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2373C24130131,Solder Joint,SOLDER JOINT,NO,PASS
2,R2373C24130132,Solder Joint,SOLDER JOINT,NO,PASS
3,R2373C24130146,Solder Joint,SOLDER JOINT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J5,,88.264,162.163,Pin,PIN,PASS
1,J6,,88.219,149.686,Solder Joint,SOLDER JOINT,PASS
1,J6,2,88.219,149.686,Solder Amount,SOLDER_AMOUNT,PASS
1,J7,,88.124,138.359,Solder Joint,SOLDER JOINT,PASS
1,J7,2,88.124,138.359,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J8,,88.024,33.446,Pin,PIN,PASS
1,S2,,85.254,51.808,Solder Joint,SOLDER JOINT,PASS
1,S2,5,85.254,51.808,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J3,,64.964,159.395,Solder Joint,SOLDER JOINT,PASS
1,J3,4,64.964,159.395,Solder Wettability,SOLDER_WETTABILITY,PASS
1,C55,,30.635,137.881,Solder Joint,SOLDER JOINT,PASS
1,C55,2,30.635,137.881,Solder Amount,SOLDER_AMOUNT,PASS
2,J5,,178.264,162.163,Solder Joint,SOLDER JOINT,PASS
2,J5,3,178.264,162.163,Solder Wettability,SOLDER_WETTABILITY,PASS
2,J4,,178.125,129.164,Pin,PIN,PASS
2,S2,,175.254,51.808,Solder Joint,SOLDER JOINT,PASS
2,S2,4,175.254,51.808,Solder Wettability,SOLDER_WETTABILITY,PASS
2,J2,,165.475,32.473,Pin,PIN,PASS
2,J3,,154.964,159.395,Solder Joint,SOLDER JOINT,PASS
2,J3,2,154.964,159.395,Solder Amount,SOLDER_AMOUNT,PASS
2,J3,4,154.964,159.395,Solder Amount,SOLDER_AMOUNT,PASS
2,F1,,146.949,20.190,Pin,PIN,PASS
2,C45,,135.964,152.377,Solder Joint,SOLDER JOINT,PASS
2,C45,1,135.964,152.377,Solder Amount,SOLDER_AMOUNT,PASS
2,C45,2,135.964,152.377,Solder Amount,SOLDER_AMOUNT,PASS
2,C44,,120.652,152.431,Solder Joint,SOLDER JOINT,PASS
2,C44,1,120.652,152.431,Solder Amount,SOLDER_AMOUNT,PASS
2,C55,,120.636,137.881,Solder Joint,SOLDER JOINT,PASS
2,C55,2,120.636,137.881,Solder Amount,SOLDER_AMOUNT,PASS
3,J7,,268.124,138.359,Solder Joint,SOLDER JOINT,PASS
3,J7,3,268.124,138.359,Solder Wettability,SOLDER_WETTABILITY,PASS
3,J1,,266.536,65.919,Solder Joint,SOLDER JOINT,PASS
3,J1,5,266.536,65.919,Solder Wettability,SOLDER_WETTABILITY,PASS
3,S2,,265.254,51.808,Solder Joint,SOLDER JOINT,PASS
3,S2,4,265.254,51.808,Solder Wettability,SOLDER_WETTABILITY,PASS
3,J2,,255.475,32.473,Pin,PIN,PASS
3,J3,,244.964,159.395,Solder Joint,SOLDER JOINT,PASS
3,J3,2,244.964,159.395,Solder Wettability,SOLDER_WETTABILITY,PASS
3,F1,,236.949,20.190,Pin,PIN,PASS
3,C44,,210.652,152.431,Solder Joint,SOLDER JOINT,PASS
3,C44,2,210.652,152.431,Solder Wettability,SOLDER_WETTABILITY,PASS
[COMPONENT_INSP_RESULT_END]
