[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2373_THT_TOP,,TOP,1,R2373C24130164,20240517,15:35:24,15:35:27,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2373C24130164,Pin,PIN,NO,PASS
2,R2373C24130173,Body Lift,LIFT,NO,PASS
3,R2373C24130139,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J1,,86.603,124.984,Pin,PIN,PASS
2,J1,,176.603,124.984,Pin,PIN,PASS
2,J2,,166.038,168.514,Wrong Component,WRONG,PASS
2,J3,,154.172,31.549,Misalignment Component,MISALIGNMENT,PASS
2,F1,,147.138,170.519,Body Lift,LIFT,PASS
2,C45,,135.918,39.159,Wrong Component,WRONG,PASS
3,J7,,268.033,52.653,Body Lift,LIFT,PASS
3,J1,,266.603,124.984,Pin,PIN,PASS
3,J2,,256.038,168.514,Wrong Component,WRONG,PASS
[COMPONENT_INSP_RESULT_END]
