[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2373_THT_TOP,,TOP,5,R2373C24130165,20240613,15:44:54,15:44:57,Body Lift,LIFT,NG
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2373C24130165,Body Lift,LIFT,NO,PASS
2,R2373C24130171,Body Lift,LIFT,NO,PASS
3,R2373C24130157,Body Lift,LIFT,NO,NG
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J1,,86.603,124.984,Body Lift,LIFT,PASS
1,C44,,30.713,38.818,Body Lift,LIFT,PASS
2,J1,,176.603,124.984,Pin,PIN,PASS
2,S2,,175.615,140.245,Polarity,POLARITY,PASS
2,J3,,154.172,31.549,Body Lift,LIFT,PASS
2,F1,,147.138,170.519,Misalignment Component,MISALIGNMENT,PASS
2,C55,,120.876,53.014,Polarity,POLARITY,PASS
2,C44,,120.713,38.818,Body Lift,LIFT,PASS
3,J1,,266.603,124.984,Pin,PIN,PASS
3,S2,,265.615,140.245,Polarity,POLARITY,PASS
3,J2,,256.038,168.514,Wrong Component,WRONG,PASS
3,J3,,244.172,31.549,Body Lift,LIFT,PASS
3,F1,,237.138,170.519,Uniesienie Komp.,Lift,NG
3,C55,,210.876,53.014,Polarity,POLARITY,PASS
3,C44,,210.713,38.818,Body Lift,LIFT,PASS
[COMPONENT_INSP_RESULT_END]
