[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2373_THT_TOP,,TOP,6,R2373C24130175,20240613,15:49:11,15:49:14,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2373C24130175,Body Lift,LIFT,NO,PASS
2,R2373C24130187,Misalignment Component,MISALIGNMENT,NO,PASS
3,R2373C24130148,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J1,,86.603,124.984,Pin,PIN,PASS
1,F1,,57.138,170.519,Body Lift,LIFT,PASS
1,C46,,45.924,53.083,Body Lift,LIFT,PASS
1,C55,,30.876,53.014,Polarity,POLARITY,PASS
1,C44,,30.713,38.818,Body Lift,LIFT,PASS
2,J1,,176.603,124.984,Pin,PIN,PASS
2,F1,,147.138,170.519,Misalignment Component,MISALIGNMENT,PASS
2,C46,,135.924,53.083,Polarity,POLARITY,PASS
3,J7,,268.033,52.653,Body Lift,LIFT,PASS
3,J5,,267.843,29.758,Polarity,POLARITY,PASS
3,J1,,266.603,124.984,Pin,PIN,PASS
3,J3,,244.172,31.549,Body Lift,LIFT,PASS
3,F1,,237.138,170.519,Body Lift,LIFT,PASS
3,C55,,210.876,53.014,Polarity,POLARITY,PASS
[COMPONENT_INSP_RESULT_END]
