[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2373_THT_TOP,,TOP,7,R2373C24130152,20240613,15:52:34,15:52:36,Missing Component,MISSING,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2373C24130152,Missing Component,MISSING,NO,PASS
2,R2373C24130130,Missing Component,MISSING,NO,PASS
3,R2373C24130175,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J1,,86.603,124.984,Pin,PIN,PASS
1,S2,,85.615,140.245,Polarity,POLARITY,PASS
1,J3,,64.172,31.549,Body Lift,LIFT,PASS
1,F1,,57.138,170.519,Missing Component,MISSING,PASS
1,C46,,45.924,53.083,Body Lift,LIFT,PASS
1,C55,,30.876,53.014,Polarity,POLARITY,PASS
1,C53,,30.925,163.788,Body Lift,LIFT,PASS
2,J1,,176.603,124.984,Pin,PIN,PASS
2,F1,,147.138,170.519,Missing Component,MISSING,PASS
2,C46,,135.924,53.083,Polarity,POLARITY,PASS
2,C55,,120.876,53.014,Polarity,POLARITY,PASS
3,J1,,266.603,124.984,Pin,PIN,PASS
3,F1,,237.138,170.519,Body Lift,LIFT,PASS
3,C46,,225.924,53.083,Body Lift,LIFT,PASS
3,C55,,210.876,53.014,Polarity,POLARITY,PASS
3,C44,,210.713,38.818,Body Lift,LIFT,PASS
[COMPONENT_INSP_RESULT_END]
