[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2373_THT_BOT,,BOTTOM,9,R2373C24130157,20240626,10:36:08,10:36:18,Polarity,POLARITY,NG
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2373C24130157,Solder Joint,SOLDER JOINT,NO,PASS
2,R2373C24130142,Solder Joint,SOLDER JOINT,NO,NG
3,R2373C24130185,Polarity,POLARITY,NO,NG
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J4,,88.124,129.164,Pin,PIN,PASS
1,J6,,88.219,149.686,Solder Joint,SOLDER JOINT,PASS
1,J6,2,88.219,149.686,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J5,,88.264,162.163,Solder Joint,SOLDER JOINT,PASS
1,J5,4,88.264,162.163,Solder Amount,SOLDER_AMOUNT,PASS
1,S2,,85.254,51.808,Solder Joint,SOLDER JOINT,PASS
1,S2,4,85.254,51.808,Solder Wettability,SOLDER_WETTABILITY,PASS
1,S2,6,85.254,51.808,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J2,,75.474,32.473,Pin,PIN,PASS
1,J3,,64.964,159.395,Solder Joint,SOLDER JOINT,PASS
1,J3,2,64.964,159.395,Solder Wettability,SOLDER_WETTABILITY,PASS
1,C46,,45.891,137.931,Solder Joint,SOLDER JOINT,PASS
1,C46,1,45.891,137.931,Solder Amount,SOLDER_AMOUNT,PASS
1,C53,,30.554,27.639,Pin,PIN,PASS
1,C55,,30.635,137.881,Solder Joint,SOLDER JOINT,PASS
1,C55,2,30.635,137.881,Solder Amount,SOLDER_AMOUNT,PASS
1,C44,,30.652,152.431,Solder Joint,SOLDER JOINT,PASS
1,C44,1,30.652,152.431,Solder Amount,SOLDER_AMOUNT,PASS
1,C44,2,30.652,152.431,Solder Amount,SOLDER_AMOUNT,PASS
2,J4,,178.125,129.164,Bridge,BRIDGE,PASS
2,J4,1,178.125,129.164,Pad Bridge,PAD_BRIDGE,PASS
2,J4,2,178.125,129.164,Pad Bridge,PAD_BRIDGE,PASS
2,J6,,178.219,149.686,Solder Joint,SOLDER JOINT,PASS
2,J6,4,178.219,149.686,Solder Amount,SOLDER_AMOUNT,PASS
2,J6,5,178.219,149.686,Solder Amount,SOLDER_AMOUNT,PASS
2,J5,,178.264,162.163,Solder Joint,SOLDER JOINT,PASS
2,J5,1,178.264,162.163,Solder Amount,SOLDER_AMOUNT,PASS
2,J5,3,178.264,162.163,Solder Amount,SOLDER_AMOUNT,PASS
2,J5,4,178.264,162.163,Solder Amount,SOLDER_AMOUNT,PASS
2,J7,,178.124,138.359,Zwarcie,Bridge,NG
2,J7,1,178.124,138.359,Solder Amount,SOLDER_AMOUNT,PASS
2,J7,2,178.124,138.359,Zwarcie,Bridge,NG
2,J7,3,178.124,138.359,Zwarcie,Bridge,NG
2,J1,,176.536,65.919,Pin,PIN,PASS
2,S2,,175.254,51.808,Solder Joint,SOLDER JOINT,PASS
2,S2,2,175.254,51.808,Solder Wettability,SOLDER_WETTABILITY,PASS
2,S2,3,175.254,51.808,Solder Wettability,SOLDER_WETTABILITY,PASS
2,S2,6,175.254,51.808,Solder Wettability,SOLDER_WETTABILITY,PASS
2,J2,,165.475,32.473,Pin,PIN,PASS
2,J3,,154.964,159.395,Solder Joint,SOLDER JOINT,PASS
2,J3,2,154.964,159.395,Solder Amount,SOLDER_AMOUNT,PASS
2,J3,3,154.964,159.395,Solder Amount,SOLDER_AMOUNT,PASS
2,L14,,154.650,148.181,Solder Joint,SOLDER JOINT,PASS
2,L14,5,154.650,148.181,Solder Amount,SOLDER_AMOUNT,PASS
2,L14,6,154.650,148.181,Solder Amount,SOLDER_AMOUNT,PASS
2,L14,8,154.650,148.181,Solder Amount,SOLDER_AMOUNT,PASS
2,L10,,153.414,32.783,Solder Joint,SOLDER JOINT,PASS
2,L10,3,153.414,32.783,Solder Amount,SOLDER_AMOUNT,PASS
2,L10,4,153.414,32.783,Solder Amount,SOLDER_AMOUNT,PASS
2,L10,6,153.414,32.783,Solder Amount,SOLDER_AMOUNT,PASS
2,F1,,146.949,20.190,Solder Joint,SOLDER JOINT,PASS
2,F1,1,146.949,20.190,Solder Amount,SOLDER_AMOUNT,PASS
2,F1,2,146.949,20.190,Solder Amount,SOLDER_AMOUNT,PASS
2,C46,,135.891,137.931,Solder Joint,SOLDER JOINT,PASS
2,C46,1,135.891,137.931,Solder Amount,SOLDER_AMOUNT,PASS
2,C44,,120.652,152.431,Solder Joint,SOLDER JOINT,PASS
2,C44,1,120.652,152.431,Solder Wettability,SOLDER_WETTABILITY,PASS
2,C44,2,120.652,152.431,Solder Wettability,SOLDER_WETTABILITY,PASS
3,J8,,268.024,33.446,Zwarcie,Bridge,NG
3,J8,1,268.024,33.446,Pad Bridge,PAD_BRIDGE,PASS
3,J8,2,268.024,33.446,Zwarcie,Bridge,NG
3,J4,,268.125,129.164,Zwarcie,Bridge,NG
3,J4,1,268.125,129.164,Zwarcie,Bridge,NG
3,J4,2,268.125,129.164,Zwarcie,Bridge,NG
3,J6,,268.219,149.686,Zwarcie,Bridge,NG
3,J6,1,268.219,149.686,Zwarcie,Bridge,NG
3,J7,,268.124,138.359,Zwarcie,Bridge,NG
3,J7,1,268.124,138.359,Zwarcie,Bridge,NG
3,J7,2,268.124,138.359,Zwarcie,Bridge,NG
3,J5,,268.264,162.163,Zwarcie,Bridge,NG
3,J5,1,268.264,162.163,Zwarcie,Bridge,NG
3,J1,,266.536,65.919,Solder Joint,SOLDER JOINT,PASS
3,J1,2,266.536,65.919,Solder Amount,SOLDER_AMOUNT,PASS
3,J1,6,266.536,65.919,Solder Wettability,SOLDER_WETTABILITY,PASS
3,S2,,265.254,51.808,Zwarcie,Bridge,NG
3,S2,1,265.254,51.808,Zwarcie,Bridge,NG
3,S2,2,265.254,51.808,Zwarcie,Bridge,NG
3,S2,4,265.254,51.808,Zwarcie,Bridge,NG
3,S2,5,265.254,51.808,Zwarcie,Bridge,NG
3,S2,6,265.254,51.808,Zwarcie,Bridge,NG
3,J2,,255.475,32.473,Pin,PIN,PASS
3,J3,,244.964,159.395,Solder Joint,SOLDER JOINT,PASS
3,J3,1,244.964,159.395,Solder Amount,SOLDER_AMOUNT,PASS
3,J3,2,244.964,159.395,Solder Wettability,SOLDER_WETTABILITY,PASS
3,J3,3,244.964,159.395,Solder Wettability,SOLDER_WETTABILITY,PASS
3,L14,,244.650,148.181,Zwarcie,Bridge,NG
3,L14,1,244.650,148.181,Zwarcie,Bridge,NG
3,L14,3,244.650,148.181,Zwarcie,Bridge,NG
3,L14,4,244.650,148.181,Zwarcie,Bridge,NG
3,L14,5,244.650,148.181,Zwarcie,Bridge,NG
3,L14,6,244.650,148.181,Zwarcie,Bridge,NG
3,L10,,243.414,32.783,Zwarcie,Bridge,NG
3,L10,2,243.414,32.783,Zwarcie,Bridge,NG
3,L10,3,243.414,32.783,Zwarcie,Bridge,NG
3,L10,4,243.414,32.783,Zwarcie,Bridge,NG
3,L10,5,243.414,32.783,Zwarcie,Bridge,NG
3,L10,6,243.414,32.783,Solder Amount,SOLDER_AMOUNT,PASS
3,L10,7,243.414,32.783,Zwarcie,Bridge,NG
3,L10,8,243.414,32.783,Solder Amount,SOLDER_AMOUNT,PASS
3,F1,,236.949,20.190,Zwarcie,Bridge,NG
3,F1,1,236.949,20.190,Zwarcie,Bridge,NG
3,F1,2,236.949,20.190,Solder Amount,SOLDER_AMOUNT,PASS
3,C46,,225.891,137.931,Zwarcie,Bridge,NG
3,C46,1,225.891,137.931,Solder Wettability,SOLDER_WETTABILITY,PASS
3,C46,2,225.891,137.931,Zwarcie,Bridge,NG
3,C45,,225.632,152.515,Solder Joint,SOLDER JOINT,PASS
3,C45,1,225.632,152.515,Solder Amount,SOLDER_AMOUNT,PASS
3,C45,2,225.632,152.515,Solder Amount,SOLDER_AMOUNT,PASS
3,C55,,210.636,137.881,Solder Joint,SOLDER JOINT,PASS
3,C55,2,210.636,137.881,Solder Amount,SOLDER_AMOUNT,PASS
3,C44,,210.652,152.431,Solder Joint,SOLDER JOINT,PASS
3,C44,1,210.652,152.431,Solder Amount,SOLDER_AMOUNT,PASS
[COMPONENT_INSP_RESULT_END]
