[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2522_THT_BOT,,TOP,1,R2522B24120244,20240426,15:42:56,15:43:08,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2522B24120244,Body Lift,LIFT,NO,PASS
2,R2522B24120214,,,NO,OK
3,R2522B24120137,Body Lift,LIFT,NO,PASS
4,R2522B24120142,Body Lift,LIFT,NO,PASS
5,R2522B24120217,Body Lift,LIFT,NO,PASS
6,R2522B24120204,Body Lift,LIFT,NO,PASS
7,R2522B24120207,Body Lift,LIFT,NO,PASS
8,R2522B24120157,Body Lift,LIFT,NO,PASS
9,R2522B24120196,Body Lift,LIFT,NO,PASS
10,R2522B24120260,Body Lift,LIFT,NO,PASS
11,R2522B24120013,Body Lift,LIFT,NO,PASS
12,R2522B24120213,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,D4,,62.311,54.353,Body Lift,LIFT,PASS
3,D4,,214.118,54.651,Body Lift,LIFT,PASS
4,D4,,289.811,55.040,Body Lift,LIFT,PASS
5,D4,,60.980,119.447,Body Lift,LIFT,PASS
5,Q1,,23.503,88.060,Solder Joint,SOLDER JOINT,PASS
5,Q1,1,23.503,88.060,Solder Amount,SOLDER_AMOUNT,PASS
6,D4,,138.042,119.318,Body Lift,LIFT,PASS
7,D4,,213.820,119.604,Body Lift,LIFT,PASS
8,D4,,289.665,119.860,Body Lift,LIFT,PASS
8,D2,,260.927,89.355,Body Lift,LIFT,PASS
9,D4,,61.911,183.868,Body Lift,LIFT,PASS
10,D4,,137.512,183.868,Body Lift,LIFT,PASS
11,D4,,213.430,184.393,Body Lift,LIFT,PASS
11,D1,,177.807,174.334,Solder Joint,SOLDER JOINT,PASS
11,D1,1,177.807,174.334,Solder Wettability,SOLDER_WETTABILITY,PASS
12,D4,,288.901,184.917,Body Lift,LIFT,PASS
[COMPONENT_INSP_RESULT_END]
