[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2522_THT_BOT,,TOP,3,R2522B24120188,20240510,15:22:14,15:22:26,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2522B24120188,Body Lift,LIFT,NO,PASS
2,R2522B24120146,Solder Joint,SOLDER JOINT,NO,PASS
3,R2522B24120180,Body Lift,LIFT,NO,PASS
4,R2522B24120224,Body Lift,LIFT,NO,PASS
5,R2522B24120176,Body Lift,LIFT,NO,PASS
6,R2522B24120195,Body Lift,LIFT,NO,PASS
7,R2522B24120221,,,NO,OK
8,R2522B24120147,Body Lift,LIFT,NO,PASS
9,R2522B24120252,Body Lift,LIFT,NO,PASS
10,R2522B24120189,Solder Joint,SOLDER JOINT,NO,PASS
11,R2522B24120153,Body Lift,LIFT,NO,PASS
12,R2522B24120187,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,D4,,62.311,54.353,Body Lift,LIFT,PASS
1,Q1,,24.834,22.965,Solder Joint,SOLDER JOINT,PASS
1,Q1,1,24.834,22.965,Solder Wettability,SOLDER_WETTABILITY,PASS
2,D1,,102.497,44.421,Solder Joint,SOLDER JOINT,PASS
2,D1,2,102.497,44.421,Solder Amount,SOLDER_AMOUNT,PASS
3,D4,,214.118,54.651,Body Lift,LIFT,PASS
3,J1,,171.537,52.067,Pin,PIN,PASS
4,D4,,289.811,55.040,Body Lift,LIFT,PASS
4,Q1,,252.334,23.652,Solder Joint,SOLDER JOINT,PASS
4,Q1,1,252.334,23.652,Solder Amount,SOLDER_AMOUNT,PASS
4,Q1,2,252.334,23.652,Solder Amount,SOLDER_AMOUNT,PASS
5,D4,,60.980,119.447,Body Lift,LIFT,PASS
6,D4,,138.042,119.318,Body Lift,LIFT,PASS
8,D4,,289.665,119.860,Body Lift,LIFT,PASS
9,D4,,61.911,183.868,Body Lift,LIFT,PASS
10,Q1,,100.035,152.480,Solder Joint,SOLDER JOINT,PASS
10,Q1,1,100.035,152.480,Solder Wettability,SOLDER_WETTABILITY,PASS
11,D4,,213.430,184.393,Body Lift,LIFT,PASS
11,Q1,,175.953,153.005,Pin,PIN,PASS
12,D4,,288.901,184.917,Body Lift,LIFT,PASS
[COMPONENT_INSP_RESULT_END]
