[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2522_THT_BOT,,TOP,4,R2522B24120141,20240510,15:24:46,15:24:58,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2522B24120141,Body Lift,LIFT,NO,PASS
2,R2522B24120161,,,NO,OK
3,R2522B24120163,Body Lift,LIFT,NO,PASS
4,R2522B24120144,Body Lift,LIFT,NO,PASS
5,R2522B24120212,Body Lift,LIFT,NO,PASS
6,R2522B24120185,Body Lift,LIFT,NO,PASS
7,R2522B24120150,Body Lift,LIFT,NO,PASS
8,R2522B24120152,Body Lift,LIFT,NO,PASS
9,R2522B24120143,Body Lift,LIFT,NO,PASS
10,R2522B24120197,Solder Joint,SOLDER JOINT,NO,PASS
11,R2522B24120205,Body Lift,LIFT,NO,PASS
12,R2522B24120174,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,D4,,62.311,54.353,Body Lift,LIFT,PASS
1,Q1,,24.834,22.965,Pin,PIN,PASS
3,D4,,214.118,54.651,Body Lift,LIFT,PASS
3,Q1,,176.641,23.263,Pin,PIN,PASS
4,D4,,289.811,55.040,Body Lift,LIFT,PASS
4,Q1,,252.334,23.652,Pin,PIN,PASS
5,D4,,60.980,119.447,Body Lift,LIFT,PASS
6,D4,,138.042,119.318,Body Lift,LIFT,PASS
6,D1,,102.419,109.259,Solder Joint,SOLDER JOINT,PASS
6,D1,1,102.419,109.259,Solder Amount,SOLDER_AMOUNT,PASS
6,Q1,,100.565,87.930,Pin,PIN,PASS
7,D4,,213.820,119.604,Body Lift,LIFT,PASS
7,D1,,178.197,109.545,Pin,PIN,PASS
8,D4,,289.665,119.860,Body Lift,LIFT,PASS
9,D4,,61.911,183.868,Body Lift,LIFT,PASS
9,Q1,,24.435,152.480,Pin,PIN,PASS
10,D1,,101.889,173.809,Pin,PIN,PASS
10,J1,,94.931,181.285,Solder Joint,SOLDER JOINT,PASS
10,J1,5,94.931,181.285,Solder Amount,SOLDER_AMOUNT,PASS
10,J1,6,94.931,181.285,Solder Amount,SOLDER_AMOUNT,PASS
11,D4,,213.430,184.393,Body Lift,LIFT,PASS
12,D4,,288.901,184.917,Body Lift,LIFT,PASS
[COMPONENT_INSP_RESULT_END]
