[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2522_THT_BOT,,TOP,5,R2522B24120133,20240510,15:27:31,15:27:43,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2522B24120133,,,NO,OK
2,R2522B24120238,Body Lift,LIFT,NO,PASS
3,R2522B24120015,,,NO,OK
4,R2522B24120192,Body Lift,LIFT,NO,PASS
5,R2522B24120240,Body Lift,LIFT,NO,PASS
6,R2522B24120129,Body Lift,LIFT,NO,PASS
7,R2522B24120250,Solder Joint,SOLDER JOINT,NO,PASS
8,R2522B24120132,Body Lift,LIFT,NO,PASS
9,R2522B24120226,Body Lift,LIFT,NO,PASS
10,R2522B24120014,Body Lift,LIFT,NO,PASS
11,R2522B24120248,Body Lift,LIFT,NO,PASS
12,R2522B24120208,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
2,D4,,138.120,54.480,Body Lift,LIFT,PASS
4,D4,,289.811,55.040,Body Lift,LIFT,PASS
4,D1,,254.188,44.980,Solder Joint,SOLDER JOINT,PASS
4,D1,1,254.188,44.980,Solder Wettability,SOLDER_WETTABILITY,PASS
4,J1,,247.230,52.456,Pin,PIN,PASS
5,D4,,60.980,119.447,Body Lift,LIFT,PASS
5,Q1,,23.503,88.060,Pin,PIN,PASS
6,D4,,138.042,119.318,Body Lift,LIFT,PASS
7,J1,,171.239,117.021,Solder Joint,SOLDER JOINT,PASS
7,J1,7,171.239,117.021,Solder Amount,SOLDER_AMOUNT,PASS
8,D4,,289.665,119.860,Body Lift,LIFT,PASS
8,J1,,247.084,117.277,Solder Joint,SOLDER JOINT,PASS
8,J1,7,247.084,117.277,Solder Amount,SOLDER_AMOUNT,PASS
9,D4,,61.911,183.868,Body Lift,LIFT,PASS
10,D4,,137.512,183.868,Body Lift,LIFT,PASS
11,D4,,213.430,184.393,Body Lift,LIFT,PASS
11,Q1,,175.953,153.005,Solder Joint,SOLDER JOINT,PASS
11,Q1,1,175.953,153.005,Solder Amount,SOLDER_AMOUNT,PASS
12,D4,,288.901,184.917,Body Lift,LIFT,PASS
[COMPONENT_INSP_RESULT_END]
