[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2522_THT_TOP,,TOP,6,R2522B24120014,20240510,15:37:31,15:37:37,Missing Component,MISSING,NG
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2522B24120014,Missing Component,MISSING,NO,PASS
2,R2522B24120188,Missing Component,MISSING,NO,PASS
3,R2522B24120240,Missing Component,MISSING,NO,PASS
4,R2522B24120250,Missing Component,MISSING,NO,PASS
5,R2522B24120226,Missing Component,MISSING,NO,PASS
6,R2522B24120133,Missing Component,MISSING,NO,PASS
7,R2522B24120256,Missing Component,MISSING,NO,PASS
8,R2522B24120248,Missing Component,MISSING,NO,PASS
9,R2522B24120180,Missing Component,MISSING,NO,PASS
10,R2522B24120015,Missing Component,MISSING,NO,PASS
11,R2522B24120154,Missing Component,MISSING,NO,PASS
12,R2522B24120167,Missing Component,MISSING,NO,NG
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,Q1,,62.476,23.169,Missing Component,MISSING,PASS
1,D1,,60.523,43.738,Misalignment Component,MISALIGNMENT,PASS
2,Q1,,138.285,23.297,Missing Component,MISSING,PASS
3,Q1,,214.283,23.467,Missing Component,MISSING,PASS
3,D2,,205.576,24.055,Pin,PIN,PASS
4,Q1,,289.976,23.856,Missing Component,MISSING,PASS
4,D3,,281.161,56.481,Solder Joint,SOLDER JOINT,PASS
4,D3,3,281.161,56.481,Solder Amount,SOLDER_AMOUNT,PASS
4,D3,4,281.161,56.481,Solder Amount,SOLDER_AMOUNT,PASS
4,D4,,251.648,54.935,Solder Joint,SOLDER JOINT,PASS
4,D4,4,251.648,54.935,Solder Amount,SOLDER_AMOUNT,PASS
5,Q1,,61.145,88.263,Missing Component,MISSING,PASS
5,D3,,52.330,120.889,Solder Joint,SOLDER JOINT,PASS
5,D3,1,52.330,120.889,Solder Amount,SOLDER_AMOUNT,PASS
5,D3,4,52.330,120.889,Solder Amount,SOLDER_AMOUNT,PASS
6,Q1,,138.207,88.135,Missing Component,MISSING,PASS
6,D1,,136.255,108.704,Body Lift,LIFT,PASS
6,D3,,129.393,120.760,Solder Joint,SOLDER JOINT,PASS
6,D3,3,129.393,120.760,Solder Amount,SOLDER_AMOUNT,PASS
7,Q1,,213.985,88.421,Missing Component,MISSING,PASS
8,Q1,,289.830,88.677,Missing Component,MISSING,PASS
8,D1,,287.878,109.247,Body Lift,LIFT,PASS
8,D2,,281.123,89.265,Solder Joint,SOLDER JOINT,PASS
8,D2,4,281.123,89.265,Solder Amount,SOLDER_AMOUNT,PASS
8,D3,,281.016,121.303,Solder Joint,SOLDER JOINT,PASS
8,D3,4,281.016,121.303,Solder Amount,SOLDER_AMOUNT,PASS
8,D4,,251.503,119.757,Solder Joint,SOLDER JOINT,PASS
8,D4,3,251.503,119.757,Solder Amount,SOLDER_AMOUNT,PASS
9,J1,,68.979,181.232,Wrong Component,WRONG,PASS
9,Q1,,62.076,152.685,Missing Component,MISSING,PASS
9,D1,,60.124,173.254,Upside down,UPSIDE DOWN,PASS
9,D3,,53.262,185.310,Solder Joint,SOLDER JOINT,PASS
9,D3,1,53.262,185.310,Solder Amount,SOLDER_AMOUNT,PASS
9,D4,,23.749,183.764,Solder Joint,SOLDER JOINT,PASS
9,D4,4,23.749,183.764,Solder Amount,SOLDER_AMOUNT,PASS
10,Q1,,137.677,152.685,Missing Component,MISSING,PASS
10,D4,,99.349,183.764,Pin,PIN,PASS
11,Q1,,213.595,153.210,Missing Component,MISSING,PASS
11,D1,,211.643,173.779,Misalignment Component,MISALIGNMENT,PASS
11,D4,,175.268,184.289,Solder Joint,SOLDER JOINT,PASS
11,D4,4,175.268,184.289,Solder Wettability,SOLDER_WETTABILITY,PASS
12,Q1,,289.066,153.734,Uniesienie Komp.,Lift,NG
12,D1,,287.114,174.303,Misalignment Component,MISALIGNMENT,PASS
12,D3,,280.252,186.359,Solder Joint,SOLDER JOINT,PASS
12,D3,3,280.252,186.359,Solder Amount,SOLDER_AMOUNT,PASS
12,D3,4,280.252,186.359,Solder Amount,SOLDER_AMOUNT,PASS
12,D4,,250.739,184.813,Pin,PIN,PASS
[COMPONENT_INSP_RESULT_END]
