[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2522_THT_BOT,,TOP,7,R2522B24120218,20240515,15:12:27,15:12:38,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2522B24120218,Body Lift,LIFT,NO,PASS
2,R2522B24120166,Body Lift,LIFT,NO,PASS
3,R2522B24120232,Solder Joint,SOLDER JOINT,NO,PASS
4,R2522B24120183,Body Lift,LIFT,NO,PASS
5,R2522B24120191,Body Lift,LIFT,NO,PASS
6,R2522B24120173,,,NO,OK
7,R2522B24120225,Body Lift,LIFT,NO,PASS
8,R2522B24120168,Body Lift,LIFT,NO,PASS
9,R2522B24120253,Body Lift,LIFT,NO,PASS
10,R2522B24120231,Body Lift,LIFT,NO,PASS
11,R2522B24120111,Pin,PIN,NO,PASS
12,R2522B24120198,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,D4,,62.311,54.353,Body Lift,LIFT,PASS
2,D4,,138.120,54.480,Body Lift,LIFT,PASS
3,D1,,178.495,44.592,Solder Joint,SOLDER JOINT,PASS
3,D1,1,178.495,44.592,Solder Wettability,SOLDER_WETTABILITY,PASS
4,D4,,289.811,55.040,Body Lift,LIFT,PASS
5,D4,,60.980,119.447,Body Lift,LIFT,PASS
7,D4,,213.820,119.604,Body Lift,LIFT,PASS
8,D4,,289.665,119.860,Body Lift,LIFT,PASS
9,D4,,61.911,183.868,Body Lift,LIFT,PASS
9,J1,,19.330,181.285,Solder Joint,SOLDER JOINT,PASS
9,J1,4,19.330,181.285,Solder Amount,SOLDER_AMOUNT,PASS
10,D4,,137.512,183.868,Body Lift,LIFT,PASS
11,D1,,177.807,174.334,Pin,PIN,PASS
11,Q1,,175.953,153.005,Pin,PIN,PASS
12,D4,,288.901,184.917,Body Lift,LIFT,PASS
12,Q1,,251.424,153.529,Solder Joint,SOLDER JOINT,PASS
12,Q1,2,251.424,153.529,Solder Amount,SOLDER_AMOUNT,PASS
[COMPONENT_INSP_RESULT_END]
