[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2522_THT_BOT,,TOP,8,R2522B24120236,20240515,15:13:36,15:13:47,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2522B24120236,Body Lift,LIFT,NO,PASS
2,R2522B24120255,Body Lift,LIFT,NO,PASS
3,R2522B24120010,Body Lift,LIFT,NO,PASS
4,R2522B24120156,Body Lift,LIFT,NO,PASS
5,R2522B24120233,Body Lift,LIFT,NO,PASS
6,R2522B24120234,Solder Joint,SOLDER JOINT,NO,PASS
7,R2522B24120201,Body Lift,LIFT,NO,PASS
8,R2522B24120203,Body Lift,LIFT,NO,PASS
9,R2522B24120242,Body Lift,LIFT,NO,PASS
10,R2522B24120216,Body Lift,LIFT,NO,PASS
11,R2522B24120228,Body Lift,LIFT,NO,PASS
12,R2522B24120136,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,D4,,62.311,54.353,Body Lift,LIFT,PASS
2,D4,,138.120,54.480,Body Lift,LIFT,PASS
3,D4,,214.118,54.651,Body Lift,LIFT,PASS
4,D4,,289.811,55.040,Body Lift,LIFT,PASS
5,D4,,60.980,119.447,Body Lift,LIFT,PASS
5,D1,,25.357,109.388,Solder Joint,SOLDER JOINT,PASS
5,D1,1,25.357,109.388,Solder Wettability,SOLDER_WETTABILITY,PASS
6,D1,,102.419,109.259,Solder Joint,SOLDER JOINT,PASS
6,D1,1,102.419,109.259,Solder Wettability,SOLDER_WETTABILITY,PASS
6,Q1,,100.565,87.930,Solder Joint,SOLDER JOINT,PASS
6,Q1,1,100.565,87.930,Solder Wettability,SOLDER_WETTABILITY,PASS
7,D4,,213.820,119.604,Body Lift,LIFT,PASS
8,D4,,289.665,119.860,Body Lift,LIFT,PASS
9,D4,,61.911,183.868,Body Lift,LIFT,PASS
9,D2,,33.173,153.363,Body Lift,LIFT,PASS
10,D4,,137.512,183.868,Body Lift,LIFT,PASS
11,D4,,213.430,184.393,Body Lift,LIFT,PASS
11,J1,,170.849,181.810,Pin,PIN,PASS
12,D4,,288.901,184.917,Body Lift,LIFT,PASS
[COMPONENT_INSP_RESULT_END]
