[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2522_THT_BOT,,TOP,9,R2522B24120239,20240515,15:17:13,15:17:25,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2522B24120239,Body Lift,LIFT,NO,PASS
2,R2522B24120227,,,NO,OK
3,R2522B24120206,Body Lift,LIFT,NO,PASS
4,R2522B24120223,Body Lift,LIFT,NO,PASS
5,R2522B24120199,Body Lift,LIFT,NO,PASS
6,R2522B24120175,Body Lift,LIFT,NO,PASS
7,R2522B24120186,,,NO,OK
8,R2522B24120009,Body Lift,LIFT,NO,PASS
9,R2522B24120138,Body Lift,LIFT,NO,PASS
10,R2522B24120229,Body Lift,LIFT,NO,PASS
11,R2522B24120249,Body Lift,LIFT,NO,PASS
12,R2522B24120245,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,D4,,62.311,54.353,Body Lift,LIFT,PASS
3,D4,,214.118,54.651,Body Lift,LIFT,PASS
3,J1,,171.537,52.067,Pin,PIN,PASS
4,D4,,289.811,55.040,Body Lift,LIFT,PASS
4,J1,,247.230,52.456,Pin,PIN,PASS
5,D4,,60.980,119.447,Body Lift,LIFT,PASS
6,D4,,138.042,119.318,Body Lift,LIFT,PASS
8,D4,,289.665,119.860,Body Lift,LIFT,PASS
9,D4,,61.911,183.868,Body Lift,LIFT,PASS
9,J1,,19.330,181.285,Pin,PIN,PASS
10,D4,,137.512,183.868,Body Lift,LIFT,PASS
11,D4,,213.430,184.393,Body Lift,LIFT,PASS
11,D3,,184.486,185.775,Body Lift,LIFT,PASS
12,D4,,288.901,184.917,Body Lift,LIFT,PASS
12,J1,,246.320,182.334,Solder Joint,SOLDER JOINT,PASS
12,J1,7,246.320,182.334,Solder Amount,SOLDER_AMOUNT,PASS
[COMPONENT_INSP_RESULT_END]
