[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2522_THT_BOT,,TOP,11,R2522B24120148,20240515,15:20:56,15:21:07,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2522B24120148,Body Lift,LIFT,NO,PASS
2,R2522B24120219,,,NO,OK
3,R2522B24120241,Body Lift,LIFT,NO,PASS
4,R2522B24120130,Body Lift,LIFT,NO,PASS
5,R2522B24120211,Body Lift,LIFT,NO,PASS
6,R2522B24120179,,,NO,OK
7,R2522B24120135,Body Lift,LIFT,NO,PASS
8,R2522B24120258,Body Lift,LIFT,NO,PASS
9,R2522B24120162,Body Lift,LIFT,NO,PASS
10,R2522B24120149,Body Lift,LIFT,NO,PASS
11,R2522B24120230,Body Lift,LIFT,NO,PASS
12,R2522B24120182,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,D4,,62.311,54.353,Body Lift,LIFT,PASS
3,D4,,214.118,54.651,Body Lift,LIFT,PASS
3,J1,,171.537,52.067,Pin,PIN,PASS
4,D4,,289.811,55.040,Body Lift,LIFT,PASS
5,D4,,60.980,119.447,Body Lift,LIFT,PASS
7,D4,,213.820,119.604,Body Lift,LIFT,PASS
8,D4,,289.665,119.860,Body Lift,LIFT,PASS
9,D4,,61.911,183.868,Body Lift,LIFT,PASS
10,D4,,137.512,183.868,Body Lift,LIFT,PASS
10,D2,,108.774,153.363,Body Lift,LIFT,PASS
11,D4,,213.430,184.393,Body Lift,LIFT,PASS
11,D2,,184.692,153.888,Body Lift,LIFT,PASS
12,D4,,288.901,184.917,Body Lift,LIFT,PASS
[COMPONENT_INSP_RESULT_END]
