[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2522_THT_BOT,,TOP,12,R2522B24120190,20240515,15:22:21,15:22:32,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2522B24120190,,,NO,OK
2,R2522B24120215,Body Lift,LIFT,NO,PASS
3,R2522B24120251,,,NO,OK
4,R2522B24120134,Body Lift,LIFT,NO,PASS
5,R2522B24120222,,,NO,OK
6,R2522B24120011,,,NO,OK
7,R2522B24120194,Body Lift,LIFT,NO,PASS
8,R2522B24120131,Body Lift,LIFT,NO,PASS
9,R2522B24120160,Body Lift,LIFT,NO,PASS
10,R2522B24120257,Body Lift,LIFT,NO,PASS
11,R2522B24120181,Body Lift,LIFT,NO,PASS
12,R2522B24120202,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
2,D4,,138.120,54.480,Body Lift,LIFT,PASS
4,D4,,289.811,55.040,Body Lift,LIFT,PASS
4,D3,,260.867,56.422,Body Lift,LIFT,PASS
4,J1,,247.230,52.456,Solder Joint,SOLDER JOINT,PASS
4,J1,1,247.230,52.456,Solder Amount,SOLDER_AMOUNT,PASS
4,J1,3,247.230,52.456,Solder Amount,SOLDER_AMOUNT,PASS
7,D4,,213.820,119.604,Body Lift,LIFT,PASS
8,D4,,289.665,119.860,Body Lift,LIFT,PASS
9,D4,,61.911,183.868,Body Lift,LIFT,PASS
10,D4,,137.512,183.868,Body Lift,LIFT,PASS
11,D4,,213.430,184.393,Body Lift,LIFT,PASS
12,D4,,288.901,184.917,Body Lift,LIFT,PASS
[COMPONENT_INSP_RESULT_END]
