[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2522_THT_TOP,,TOP,14,R2522B24120227,20240515,15:41:06,15:41:12,Missing Component,MISSING,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2522B24120227,Missing Component,MISSING,NO,PASS
2,R2522B24120138,Missing Component,MISSING,NO,PASS
3,R2522B24120177,Missing Component,MISSING,NO,PASS
4,R2522B24120186,Missing Component,MISSING,NO,PASS
5,R2522B24120233,Missing Component,MISSING,NO,PASS
6,R2522B24120236,Missing Component,MISSING,NO,PASS
7,R2522B24120229,Missing Component,MISSING,NO,PASS
8,R2522B24120206,Missing Component,MISSING,NO,PASS
9,R2522B24120255,Missing Component,MISSING,NO,PASS
10,R2522B24120128,Missing Component,MISSING,NO,PASS
11,R2522B24120239,Missing Component,MISSING,NO,PASS
12,R2522B24120199,Missing Component,MISSING,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,Q1,,62.476,23.169,Missing Component,MISSING,PASS
1,D1,,60.523,43.738,Misalignment Component,MISALIGNMENT,PASS
2,Q1,,138.285,23.297,Missing Component,MISSING,PASS
2,D3,,129.471,55.922,Solder Joint,SOLDER JOINT,PASS
2,D3,1,129.471,55.922,Solder Wettability,SOLDER_WETTABILITY,PASS
2,D3,2,129.471,55.922,Solder Wettability,SOLDER_WETTABILITY,PASS
2,D4,,99.958,54.376,Pin,PIN,PASS
3,Q1,,214.283,23.467,Missing Component,MISSING,PASS
3,D2,,205.576,24.055,Pin,PIN,PASS
4,Q1,,289.976,23.856,Missing Component,MISSING,PASS
5,Q1,,61.145,88.263,Missing Component,MISSING,PASS
6,Q1,,138.207,88.135,Missing Component,MISSING,PASS
6,D2,,129.500,88.723,Pin,PIN,PASS
7,Q1,,213.985,88.421,Missing Component,MISSING,PASS
7,D3,,205.171,121.047,Pin,PIN,PASS
8,Q1,,289.830,88.677,Missing Component,MISSING,PASS
8,D1,,287.878,109.247,Misalignment Component,MISALIGNMENT,PASS
8,D3,,281.016,121.303,Pin,PIN,PASS
9,Q1,,62.076,152.685,Missing Component,MISSING,PASS
9,D2,,53.369,153.272,Pin,PIN,PASS
9,D4,,23.749,183.764,Pin,PIN,PASS
10,Q1,,137.677,152.685,Missing Component,MISSING,PASS
11,Q1,,213.595,153.210,Missing Component,MISSING,PASS
11,D1,,211.643,173.779,Misalignment Component,MISALIGNMENT,PASS
11,D2,,204.888,153.797,Pin,PIN,PASS
12,Q1,,289.066,153.734,Missing Component,MISSING,PASS
[COMPONENT_INSP_RESULT_END]
