[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2522_THT_BOT,,TOP,15,R2522B24120156,20240517,10:50:54,10:51:05,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2522B24120156,Body Lift,LIFT,NO,PASS
2,R2522B24120140,,,NO,OK
3,R2522B24120228,Pin,PIN,NO,PASS
4,R2522B24120015,Body Lift,LIFT,NO,PASS
5,R2522B24120226,Body Lift,LIFT,NO,PASS
6,R2522B24120180,Pin,PIN,NO,PASS
7,R2522B24120014,Solder Joint,SOLDER JOINT,NO,PASS
8,R2522B24120240,Body Lift,LIFT,NO,PASS
9,R2522B24120256,Body Lift,LIFT,NO,PASS
10,R2522B24120154,Body Lift,LIFT,NO,PASS
11,R2522B24120203,Body Lift,LIFT,NO,PASS
12,R2522B24120188,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,D4,,62.311,54.353,Body Lift,LIFT,PASS
3,J1,,171.537,52.067,Pin,PIN,PASS
4,D4,,289.811,55.040,Body Lift,LIFT,PASS
5,D4,,60.980,119.447,Body Lift,LIFT,PASS
6,J1,,95.461,116.735,Pin,PIN,PASS
7,D1,,178.197,109.545,Solder Joint,SOLDER JOINT,PASS
7,D1,1,178.197,109.545,Solder Wettability,SOLDER_WETTABILITY,PASS
8,D4,,289.665,119.860,Body Lift,LIFT,PASS
8,Q1,,252.188,88.473,Pin,PIN,PASS
9,D4,,61.911,183.868,Body Lift,LIFT,PASS
9,D1,,26.289,173.809,Solder Joint,SOLDER JOINT,PASS
9,D1,1,26.289,173.809,Solder Wettability,SOLDER_WETTABILITY,PASS
10,D4,,137.512,183.868,Body Lift,LIFT,PASS
11,D4,,213.430,184.393,Body Lift,LIFT,PASS
12,D4,,288.901,184.917,Body Lift,LIFT,PASS
[COMPONENT_INSP_RESULT_END]
