[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2523_THT_TOP,,TOP,1,R2523A24110101,20240426,14:16:03,14:16:14,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2523A24110101,Pin,PIN,NO,PASS
2,R2523A24110100,Pin,PIN,NO,PASS
3,R2523A24110133,Solder Joint,SOLDER JOINT,NO,PASS
4,R2523A24110122,Pin,PIN,NO,PASS
5,R2523A24110137,Pin,PIN,NO,PASS
6,R2523A24110135,Solder Joint,SOLDER JOINT,NO,PASS
7,R2523A24110126,Body Lift,LIFT,NO,PASS
8,R2523A24110099,Solder Joint,SOLDER JOINT,NO,PASS
9,R2523A24110138,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J8B,,80.659,58.032,Pin,PIN,PASS
1,J5,,50.884,32.306,Pin,PIN,PASS
2,J8A,,177.487,67.478,Pin,PIN,PASS
2,J5,,147.829,31.642,Pin,PIN,PASS
2,J4,,147.561,50.677,Pin,PIN,PASS
3,J8B,,272.630,57.367,Pin,PIN,PASS
3,J8A,,272.513,67.478,Solder Joint,SOLDER JOINT,PASS
3,J8A,1,272.513,67.478,Solder Amount,SOLDER_AMOUNT,PASS
3,J5,,242.855,31.642,Pin,PIN,PASS
3,J4,,242.587,50.677,Pin,PIN,PASS
3,J2,,213.323,62.058,Pin,PIN,PASS
4,J8B,,80.167,126.471,Pin,PIN,PASS
4,J8A,,80.050,136.581,Pin,PIN,PASS
5,J8B,,177.111,125.806,Pin,PIN,PASS
6,J8B,,272.138,125.806,Solder Joint,SOLDER JOINT,PASS
6,J8B,1,272.138,125.806,Solder Amount,SOLDER_AMOUNT,PASS
7,J12,,88.888,203.447,Body Lift,LIFT,PASS
7,J8B,,80.659,193.925,Pin,PIN,PASS
7,J3,,50.791,199.924,Pin,PIN,PASS
8,J8B,,177.604,193.260,Pin,PIN,PASS
8,J8A,,177.487,203.371,Solder Joint,SOLDER JOINT,PASS
8,J8A,1,177.487,203.371,Solder Amount,SOLDER_AMOUNT,PASS
8,J5,,147.829,167.534,Pin,PIN,PASS
8,J4,,147.561,186.570,Pin,PIN,PASS
8,J2,,118.297,197.951,Pin,PIN,PASS
9,J8B,,272.630,193.260,Pin,PIN,PASS
9,J8A,,272.513,203.371,Solder Joint,SOLDER JOINT,PASS
9,J8A,1,272.513,203.371,Solder Amount,SOLDER_AMOUNT,PASS
9,J3,,242.761,199.260,Pin,PIN,PASS
9,J4,,242.587,186.570,Pin,PIN,PASS
9,J9,,216.559,182.046,Body Lift,LIFT,PASS
[COMPONENT_INSP_RESULT_END]
