[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2523_THT_BOT,,BOTTOM,1,R2523A24110129,20240426,15:15:03,15:15:16,Solder Joint,SOLDER JOINT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2523A24110129,Solder Joint,SOLDER JOINT,NO,PASS
2,R2523A24110114,Solder Joint,SOLDER JOINT,NO,PASS
3,R2523A24110131,Solder Joint,SOLDER JOINT,NO,PASS
4,R2523A24110118,Pin,PIN,NO,PASS
5,R2523A24110123,Pin,PIN,NO,PASS
6,R2523A24110112,Pin,PIN,NO,PASS
7,R2523A24110134,Pin,PIN,NO,PASS
8,R2523A24110136,,,NO,OK
9,R2523A24110130,Pin,PIN,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J10,,83.960,50.345,Solder Joint,SOLDER JOINT,PASS
1,J10,2,83.960,50.345,Solder Wettability,SOLDER_WETTABILITY,PASS
2,J9,,120.731,48.935,Solder Joint,SOLDER JOINT,PASS
2,J9,3,120.731,48.935,Solder Wettability,SOLDER_WETTABILITY,PASS
3,J12,,280.454,28.513,Solder Joint,SOLDER JOINT,PASS
3,J12,1,280.454,28.513,Solder Amount,SOLDER_AMOUNT,PASS
3,J8A,,272.269,27.722,Pin,PIN,PASS
3,J8B,,271.995,37.766,Pin,PIN,PASS
4,J9,,23.948,118.263,Pin,PIN,PASS
5,J10,,179.757,117.895,Pin,PIN,PASS
6,J9,,215.265,117.374,Pin,PIN,PASS
7,J9,,24.440,185.717,Pin,PIN,PASS
9,J8B,,271.995,173.659,Pin,PIN,PASS
[COMPONENT_INSP_RESULT_END]
