[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2523_THT_BOT,,BOTTOM,2,R2523A24110101,20240426,15:18:27,15:18:39,Solder Joint,SOLDER JOINT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2523A24110101,Solder Joint,SOLDER JOINT,NO,PASS
2,R2523A24110138,,,NO,OK
3,R2523A24110137,Pin,PIN,NO,PASS
4,R2523A24110132,Solder Joint,SOLDER JOINT,NO,PASS
5,R2523A24110100,,,NO,OK
6,R2523A24110099,Pin,PIN,NO,PASS
7,R2523A24110133,Pin,PIN,NO,PASS
8,R2523A24110126,Solder Joint,SOLDER JOINT,NO,PASS
9,R2523A24110135,,,NO,OK
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J9,,24.440,49.824,Solder Joint,SOLDER JOINT,PASS
1,J9,3,24.440,49.824,Solder Wettability,SOLDER_WETTABILITY,PASS
3,J8A,,272.269,27.722,Pin,PIN,PASS
4,J9,,23.948,118.263,Solder Joint,SOLDER JOINT,PASS
4,J9,3,23.948,118.263,Solder Wettability,SOLDER_WETTABILITY,PASS
6,J9,,215.265,117.374,Pin,PIN,PASS
7,J9,,24.440,185.717,Pin,PIN,PASS
8,J9,,120.731,184.828,Solder Joint,SOLDER JOINT,PASS
8,J9,1,120.731,184.828,Solder Wettability,SOLDER_WETTABILITY,PASS
[COMPONENT_INSP_RESULT_END]
