[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2527_THT_BOT,,BOTTOM,4,R2527B24120046,20240403,13:43:31,13:43:37,Solder Joint,SOLDER JOINT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2527B24120046,,,NO,OK
2,R2527B24120067,,,NO,OK
3,R2527B24120081,Pin,PIN,NO,PASS
4,R2527B24120062,Solder Joint,SOLDER JOINT,NO,PASS
5,R2527B24120096,Pin,PIN,NO,PASS
6,R2527B24120077,,,NO,OK
7,R2527B24120082,Pin,PIN,NO,PASS
8,R2527B24120054,,,NO,OK
9,R2527B24120095,,,NO,OK
10,R2527B24120041,,,NO,OK
11,R2527B24120076,,,NO,OK
12,R2527B24120055,,,NO,OK
13,R2527B24120057,Pin,PIN,NO,PASS
14,R2527B24120093,,,NO,OK
15,R2527B24120083,Pin,PIN,NO,PASS
16,R2527B24120071,,,NO,OK
17,R2527B24120068,Pin,PIN,NO,PASS
18,R2527B24120043,,,NO,OK
19,R2527B24120070,,,NO,OK
20,R2527B24120091,Pin,PIN,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
3,J1,,99.453,29.430,Pin,PIN,PASS
4,J1,,139.453,29.430,Solder Joint,SOLDER JOINT,PASS
4,J1,1,139.453,29.430,Solder Amount,SOLDER_AMOUNT,PASS
5,J1,,179.453,29.430,Pin,PIN,PASS
7,J1,,59.453,59.430,Pin,PIN,PASS
13,J1,,99.453,89.430,Pin,PIN,PASS
15,J1,,179.453,89.430,Pin,PIN,PASS
17,J1,,59.453,119.430,Pin,PIN,PASS
20,J1,,179.453,119.430,Pin,PIN,PASS
[COMPONENT_INSP_RESULT_END]
