[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2527_THT_TOP,,TOP,8,R2527B24120048,20240403,14:28:19,14:28:26,Solder Joint,SOLDER JOINT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2527B24120048,Pin,PIN,NO,PASS
2,R2527B24120044,,,NO,OK
3,R2527B24120051,Pin,PIN,NO,PASS
4,R2527B24120080,,,NO,OK
5,R2527B24120049,Pin,PIN,NO,PASS
6,R2527B24120061,,,NO,OK
7,R2527B24120039,Pin,PIN,NO,PASS
8,R2527B24120050,,,NO,OK
9,R2527B24120074,,,NO,OK
10,R2527B24120042,Solder Joint,SOLDER JOINT,NO,PASS
11,R2527B24120053,,,NO,OK
12,R2527B24120052,,,NO,OK
13,R2527B24120092,,,NO,OK
14,R2527B24120060,,,NO,OK
15,R2527B24120059,,,NO,OK
16,R2527B24120088,,,NO,OK
17,R2527B24120064,,,NO,OK
18,R2527B24120084,,,NO,OK
19,R2527B24120094,,,NO,OK
20,R2527B24120056,,,NO,OK
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,S2,,21.263,23.364,Pin,PIN,PASS
3,S2,,101.263,23.364,Pin,PIN,PASS
5,S2,,181.263,23.364,Pin,PIN,PASS
7,S2,,61.263,53.364,Pin,PIN,PASS
10,S2,,181.263,53.364,Solder Joint,SOLDER JOINT,PASS
10,S2,3,181.263,53.364,Solder Wettability,SOLDER_WETTABILITY,PASS
[COMPONENT_INSP_RESULT_END]
