[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2533_THT_TOP,,TOP,9,R2533K24140033,20240514,13:07:39,13:07:44,Body Lift,LIFT,NG
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2533K24140033,Body Lift,LIFT,NO,NG
2,R2533K24140030,Body Lift,LIFT,NO,PASS
3,R2533K24140024,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J3,,82.207,45.873,Wrong Component,WRONG,PASS
1,J2,,59.390,23.740,Body Lift,LIFT,PASS
1,J11,,42.768,224.177,Przesuniêcie,Misalignment,NG
1,J9,,25.272,222.078,Wrong Component,WRONG,PASS
2,J3,,172.207,45.873,Wrong Component,WRONG,PASS
2,J7,,171.482,61.259,Body Lift,LIFT,PASS
2,J2,,149.390,23.740,Wrong Component,WRONG,PASS
3,J3,,262.207,45.873,Wrong Component,WRONG,PASS
3,J5,,255.839,225.341,Wrong Component,WRONG,PASS
3,J4,,244.679,225.371,Body Lift,LIFT,PASS
3,J2,,239.390,23.740,Body Lift,LIFT,PASS
3,J1,,236.935,223.935,Polarity,POLARITY,PASS
3,J9,,205.271,222.078,Wrong Component,WRONG,PASS
[COMPONENT_INSP_RESULT_END]
