[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2533_THT_TOP,,TOP,12,R2533K24140027,20240514,13:16:56,13:17:01,Wrong Component,WRONG,NG
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2533K24140027,Wrong Component,WRONG,NO,PASS
2,R2533K24140018,Wrong Component,WRONG,NO,PASS
3,R2533K24140053,Wrong Component,WRONG,NO,NG
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J3,,82.207,45.873,Wrong Component,WRONG,PASS
1,J7,,81.482,61.259,Wrong Component,WRONG,PASS
1,J2,,59.390,23.740,Wrong Component,WRONG,PASS
1,J1,,56.935,223.935,Polarity,POLARITY,PASS
1,J9,,25.272,222.078,Wrong Component,WRONG,PASS
2,J3,,172.207,45.873,Wrong Component,WRONG,PASS
2,J2,,149.390,23.740,Wrong Component,WRONG,PASS
3,J3,,262.207,45.873,Wrong Component,WRONG,PASS
3,J11,,222.768,224.177,Przesuniêcie,Misalignment,NG
[COMPONENT_INSP_RESULT_END]
