[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2534_THT_TOP,,TOP,11,R2534K24170023,20240604,15:09:49,15:09:52,Body Lift,LIFT,NG
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2534K24170023,Body Lift,LIFT,NO,NG
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,Q1,,263.534,121.463,Pin,PIN,PASS
1,Q2,,263.834,81.461,Pin,Pin,NG
1,K1,,259.171,33.966,Body Lift,LIFT,PASS
1,L1,,243.413,58.557,Wrong Component,WRONG,PASS
1,R79,,209.709,125.745,Solder Joint,SOLDER JOINT,PASS
1,R79,2,209.709,125.745,Solder Wettability,SOLDER_WETTABILITY,PASS
1,Q5,,193.241,121.341,Solder Joint,SOLDER JOINT,PASS
1,Q5,1,193.241,121.341,Solder Wettability,SOLDER_WETTABILITY,PASS
1,Q5,3,193.241,121.341,Solder Wettability,SOLDER_WETTABILITY,PASS
1,Q6,,171.371,121.140,Solder Joint,SOLDER JOINT,PASS
1,Q6,2,171.371,121.140,Solder Wettability,SOLDER_WETTABILITY,PASS
1,Q6,3,171.371,121.140,Solder Wettability,SOLDER_WETTABILITY,PASS
1,RT1,,143.807,143.323,Solder Joint,SOLDER JOINT,PASS
1,RT1,1,143.807,143.323,Solder Amount,SOLDER_AMOUNT,PASS
1,RT1,2,143.807,143.323,Solder Wettability,SOLDER_WETTABILITY,PASS
1,TR6,,140.113,106.199,Body Lift,LIFT,PASS
1,U5,,138.620,134.557,Pin,Pin,NG
1,T4,,116.047,122.538,Polarity,POLARITY,PASS
1,R46,,108.556,96.096,Upside down,UPSIDE DOWN,PASS
1,T3,,101.941,97.302,Polarity,POLARITY,PASS
1,T2,,79.202,121.702,Polarity,POLARITY,PASS
1,U6,,71.605,138.381,Pin,Pin,NG
1,U6,3,71.605,138.381,Pin,Pin,NG
1,TR4,,37.370,40.101,Wrong Component,WRONG,PASS
[COMPONENT_INSP_RESULT_END]
