[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2534_THT_BOT,,BOTTOM,22,R2534K24170051,20240613,14:28:05,14:28:10,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2534K24170051,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,TR5,,263.645,70.940,Solder Joint,SOLDER JOINT,PASS
1,TR5,8,263.645,70.940,Solder Wettability,SOLDER_WETTABILITY,PASS
1,TR5,9,263.645,70.940,Solder Wettability,SOLDER_WETTABILITY,PASS
1,U6,,238.108,139.380,Wrong Component,WRONG,PASS
1,U7,,237.907,126.461,Wrong Component,WRONG,PASS
1,TR2,,237.208,44.477,Solder Joint,SOLDER JOINT,PASS
1,TR2,2,237.208,44.477,Solder Wettability,SOLDER_WETTABILITY,PASS
1,TR2,5,237.208,44.477,Solder Wettability,SOLDER_WETTABILITY,PASS
1,R61,,231.753,80.645,Solder Joint,SOLDER JOINT,PASS
1,R61,1,231.753,80.645,Solder Wettability,SOLDER_WETTABILITY,PASS
1,R61,2,231.753,80.645,Solder Wettability,SOLDER_WETTABILITY,PASS
1,R47,,229.409,94.699,Pin,PIN,PASS
1,R60,,226.722,80.642,Solder Joint,SOLDER JOINT,PASS
1,R60,2,226.722,80.642,Solder Wettability,SOLDER_WETTABILITY,PASS
1,W4,,221.714,95.616,Pin,PIN,PASS
1,J3,,216.697,29.499,Solder Joint,SOLDER JOINT,PASS
1,J3,1,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J3,2,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J3,3,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J3,4,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J3,5,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J3,6,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,R46,,192.551,96.638,Pin,PIN,PASS
1,TR6,,160.501,107.101,Pin,PIN,PASS
1,J1,,155.795,30.124,Solder Joint,SOLDER JOINT,PASS
1,J1,1,155.795,30.124,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J1,3,155.795,30.124,Solder Wettability,SOLDER_WETTABILITY,PASS
1,R25,,103.194,96.576,Pin,PIN,PASS
1,TR1,,101.536,56.349,Solder Joint,SOLDER JOINT,PASS
1,TR1,14,101.536,56.349,Solder Wettability,SOLDER_WETTABILITY,PASS
1,R29,,98.101,95.241,Pin,PIN,PASS
1,R79,,91.022,135.184,Body Lift,LIFT,PASS
1,L1,,63.012,44.815,Pin,PIN,PASS
1,K1,,42.407,33.482,Pin,PIN,PASS
[COMPONENT_INSP_RESULT_END]
