[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2535_THT_BOT,,BOTTOM,2,R2535J24140050,20240515,10:28:11,10:28:14,Misalignment Component,MISALIGNMENT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2535J24140050,Misalignment Component,MISALIGNMENT,NO,PASS
2,R2535J24140025,Solder Joint,SOLDER JOINT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,K2,,158.838,71.130,Pin,PIN,PASS
1,R16,,145.745,38.669,Pin,PIN,PASS
1,J4,,126.438,74.814,Misalignment Component,MISALIGNMENT,PASS
1,K7,,101.451,75.256,Solder Joint,SOLDER JOINT,PASS
1,K7,4,101.451,75.256,Solder Amount,SOLDER_AMOUNT,PASS
2,J1,,265.527,152.626,Pin,PIN,PASS
2,K1,,143.151,160.754,Solder Joint,SOLDER JOINT,PASS
2,K1,4,143.151,160.754,Solder Wettability,SOLDER_WETTABILITY,PASS
2,K1,6,143.151,160.754,Solder Wettability,SOLDER_WETTABILITY,PASS
2,K7,,101.451,165.256,Solder Joint,SOLDER JOINT,PASS
2,K7,4,101.451,165.256,Solder Amount,SOLDER_AMOUNT,PASS
[COMPONENT_INSP_RESULT_END]
