[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2535_THT_BOT,,BOTTOM,5,R2535J24140030,20240515,10:38:55,10:38:58,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2535J24140030,Body Lift,LIFT,NO,PASS
2,R2535J24140012,Wrong Component,WRONG,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J1,,265.527,62.625,Pin,PIN,PASS
1,R16,,145.745,38.669,Pin,PIN,PASS
1,R24,,145.456,50.644,Pin,PIN,PASS
1,R23,,145.387,44.680,Solder Joint,SOLDER JOINT,PASS
1,R23,2,145.387,44.680,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J4,,126.438,74.814,Misalignment Component,MISALIGNMENT,PASS
1,K4,,110.653,77.555,Pin,PIN,PASS
1,J3,,81.482,23.855,Body Lift,LIFT,PASS
2,J2,,141.998,114.142,Wrong Component,WRONG,PASS
2,J4,,126.438,164.814,Misalignment Component,MISALIGNMENT,PASS
2,K4,,110.653,167.556,Pin,PIN,PASS
2,K7,,101.451,165.256,Solder Joint,SOLDER JOINT,PASS
2,K7,2,101.451,165.256,Solder Amount,SOLDER_AMOUNT,PASS
[COMPONENT_INSP_RESULT_END]
