[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2535_THT_BOT,,BOTTOM,8,R2535J24140016,20240515,10:45:39,10:45:42,Misalignment Component,MISALIGNMENT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2535J24140016,Misalignment Component,MISALIGNMENT,NO,PASS
2,R2535J24140022,Polarity,POLARITY,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,R16,,145.745,38.669,Solder Joint,SOLDER JOINT,PASS
1,R16,2,145.745,38.669,Solder Amount,SOLDER_AMOUNT,PASS
1,R23,,145.387,44.680,Solder Joint,SOLDER JOINT,PASS
1,R23,2,145.387,44.680,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J4,,126.438,74.814,Misalignment Component,MISALIGNMENT,PASS
1,K7,,101.451,75.256,Solder Joint,SOLDER JOINT,PASS
1,K7,4,101.451,75.256,Solder Amount,SOLDER_AMOUNT,PASS
2,J1,,265.527,152.626,Pin,PIN,PASS
2,K4,,110.653,167.556,Pin,PIN,PASS
2,K7,,101.451,165.256,Solder Joint,SOLDER JOINT,PASS
2,K7,2,101.451,165.256,Solder Amount,SOLDER_AMOUNT,PASS
2,K7,4,101.451,165.256,Solder Amount,SOLDER_AMOUNT,PASS
2,J3,,81.482,113.855,Polarity,POLARITY,PASS
[COMPONENT_INSP_RESULT_END]
