[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2535_THT_BOT,,BOTTOM,12,R2535J24140014,20240515,10:53:52,10:53:55,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2535J24140014,Solder Joint,SOLDER JOINT,NO,PASS
2,R2535J24140015,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J1,,265.527,62.625,Pin,PIN,PASS
1,K2,,158.838,71.130,Pin,PIN,PASS
1,R23,,145.387,44.680,Pin,PIN,PASS
1,K7,,101.451,75.256,Solder Joint,SOLDER JOINT,PASS
1,K7,4,101.451,75.256,Solder Amount,SOLDER_AMOUNT,PASS
2,J1,,265.527,152.626,Pin,PIN,PASS
2,K2,,158.838,161.130,Pin,PIN,PASS
2,R16,,145.745,128.670,Pin,PIN,PASS
2,K1,,143.151,160.754,Pin,PIN,PASS
2,J4,,126.438,164.814,Misalignment Component,MISALIGNMENT,PASS
2,K4,,110.653,167.556,Pin,PIN,PASS
2,K7,,101.451,165.256,Pin,PIN,PASS
2,J3,,81.482,113.855,Body Lift,LIFT,PASS
[COMPONENT_INSP_RESULT_END]
