[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2535_THT_BOT,,BOTTOM,17,R2535J24140043,20240515,11:00:05,11:00:07,Missing Component,MISSING,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2535J24140043,Missing Component,MISSING,NO,PASS
2,R2535J24140020,Missing Component,MISSING,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J1,,265.527,62.625,Pin,PIN,PASS
1,K2,,158.838,71.130,Pin,PIN,PASS
1,J4,,126.438,74.814,Missing Component,MISSING,PASS
1,K7,,101.451,75.256,Solder Joint,SOLDER JOINT,PASS
1,K7,4,101.451,75.256,Solder Amount,SOLDER_AMOUNT,PASS
1,J3,,81.482,23.855,Body Lift,LIFT,PASS
2,R16,,145.745,128.670,Pin,PIN,PASS
2,J4,,126.438,164.814,Missing Component,MISSING,PASS
2,K4,,110.653,167.556,Pin,PIN,PASS
2,K7,,101.451,165.256,Solder Joint,SOLDER JOINT,PASS
2,K7,4,101.451,165.256,Solder Amount,SOLDER_AMOUNT,PASS
2,H6,,76.150,134.921,Wrong Component,WRONG,PASS
[COMPONENT_INSP_RESULT_END]
