[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2535_THT_BOT,,BOTTOM,19,R2535J24140025,20240628,14:20:37,14:20:41,Missing Component,MISSING,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2535J24140025,Missing Component,MISSING,NO,PASS
2,R2535J24140019,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J1,,265.527,62.625,Pin,PIN,PASS
1,J2,,141.998,24.142,Body Lift,LIFT,PASS
1,J4,,126.438,74.814,Missing Component,MISSING,PASS
1,K7,,101.451,75.256,Solder Joint,SOLDER JOINT,PASS
1,K7,4,101.451,75.256,Solder Amount,SOLDER_AMOUNT,PASS
1,J3,,81.482,23.855,Body Lift,LIFT,PASS
2,J1,,265.527,152.626,Pin,PIN,PASS
2,K1,,143.151,160.754,Solder Joint,SOLDER JOINT,PASS
2,K1,4,143.151,160.754,Solder Wettability,SOLDER_WETTABILITY,PASS
2,K7,,101.451,165.256,Solder Joint,SOLDER JOINT,PASS
2,K7,2,101.451,165.256,Solder Amount,SOLDER_AMOUNT,PASS
2,K7,4,101.451,165.256,Solder Amount,SOLDER_AMOUNT,PASS
2,J3,,81.482,113.855,Body Lift,LIFT,PASS
[COMPONENT_INSP_RESULT_END]
