[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-3014_THT_BOT,,BOTTOM,1,R3014B24120030,20240418,10:28:16,10:28:28,Solder Joint,SOLDER JOINT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R3014B24120030,Pin,PIN,NO,PASS
2,R3014B24120032,Pin,PIN,NO,PASS
3,R3014B24120026,Solder Joint,SOLDER JOINT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J1,,225.707,62.725,Pin,PIN,PASS
1,J2,,205.237,62.628,Pin,PIN,PASS
1,K3,,43.835,48.495,Pin,PIN,PASS
2,J1,,225.707,137.739,Pin,PIN,PASS
2,J2,,205.237,137.642,Pin,PIN,PASS
3,J2,,205.237,212.103,Solder Joint,SOLDER JOINT,PASS
3,J2,7,205.237,212.103,Solder Wettability,SOLDER_WETTABILITY,PASS
3,W2A,,175.973,199.939,Solder Joint,SOLDER JOINT,PASS
3,W2A,1,175.973,199.939,Solder Wettability,SOLDER_WETTABILITY,PASS
[COMPONENT_INSP_RESULT_END]
