[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-3014_THT_BOT,,BOTTOM,9,R3014B24120006,20240418,10:46:01,10:46:13,Solder Joint,SOLDER JOINT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R3014B24120006,Pin,PIN,NO,PASS
2,R3014B24120007,Solder Joint,SOLDER JOINT,NO,PASS
3,R3014B24120012,Solder Joint,SOLDER JOINT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J1,,225.707,62.725,Pin,PIN,PASS
1,J2,,205.237,62.628,Pin,PIN,PASS
1,W1A,,175.975,60.222,Pin,PIN,PASS
1,K3,,43.835,48.495,Pin,PIN,PASS
2,J1,,225.707,137.739,Solder Joint,SOLDER JOINT,PASS
2,J1,3,225.707,137.739,Solder Wettability,SOLDER_WETTABILITY,PASS
2,J2,,205.237,137.642,Solder Joint,SOLDER JOINT,PASS
2,J2,7,205.237,137.642,Solder Wettability,SOLDER_WETTABILITY,PASS
2,J2,8,205.237,137.642,Solder Amount,SOLDER_AMOUNT,PASS
2,W1A,,175.975,135.236,Pin,PIN,PASS
2,W2A,,175.973,125.478,Pin,PIN,PASS
3,J1,,225.707,212.200,Pin,PIN,PASS
3,J2,,205.237,212.103,Solder Joint,SOLDER JOINT,PASS
3,J2,2,205.237,212.103,Solder Amount,SOLDER_AMOUNT,PASS
3,J2,10,205.237,212.103,Solder Amount,SOLDER_AMOUNT,PASS
3,K1,,150.253,197.915,Solder Joint,SOLDER JOINT,PASS
3,K1,4,150.253,197.915,Solder Amount,SOLDER_AMOUNT,PASS
3,K2,,43.843,213.874,Pin,PIN,PASS
[COMPONENT_INSP_RESULT_END]
