[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-3014_THT_BOT,,BOTTOM,10,R3014B24120028,20240418,10:47:55,10:48:07,Solder Joint,SOLDER JOINT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R3014B24120028,Solder Joint,SOLDER JOINT,NO,PASS
2,R3014B24120029,Solder Joint,SOLDER JOINT,NO,PASS
3,R3014B24120008,Solder Joint,SOLDER JOINT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J1,,225.707,62.725,Solder Joint,SOLDER JOINT,PASS
1,J1,3,225.707,62.725,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J1,7,225.707,62.725,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J2,,205.237,62.628,Pin,PIN,PASS
1,K3,,43.835,48.495,Pin,PIN,PASS
2,J2,,205.237,137.642,Pin,PIN,PASS
2,K2,,43.843,139.413,Solder Joint,SOLDER JOINT,PASS
2,K2,4,43.843,139.413,Solder Wettability,SOLDER_WETTABILITY,PASS
3,W1A,,175.975,209.697,Solder Joint,SOLDER JOINT,PASS
3,W1A,1,175.975,209.697,Solder Wettability,SOLDER_WETTABILITY,PASS
[COMPONENT_INSP_RESULT_END]
